scenic_name,BM_count,Exc_count,Hyg_count,PT_count,REP_count,TSA_count,TSH_count,TT_count
武夷山（福建）,67,26,34,0,74,1,27,1
黄山（安徽）,514,83,127,0,548,1,249,14
澳门大三巴牌坊,6,3,3,0,2,0,5,0
三清山（江西）,268,50,69,0,182,1,90,11
乌镇（浙江）,214,36,26,0,100,1,102,2
重庆洪崖洞与解放碑,56,21,15,0,39,1,28,1
故宫（北京）,813,224,169,0,199,5,317,7
额济纳胡杨林（内蒙古）,7,2,3,0,11,0,3,1
丹霞山（广东）,46,9,17,0,41,0,13,5
香港维多利亚港,18,4,3,0,16,0,19,0
天坛（北京）,148,30,33,0,82,0,77,0
泰山（山东）,266,30,63,0,126,1,79,6
承德避暑山庄（河北）,80,18,36,0,74,2,48,3
万里长城（八达岭慕田峪等）,490,61,59,0,191,0,141,9
黄龙（四川）,96,28,33,0,78,2,47,5
鼓浪屿（福建厦门）,144,51,34,0,73,2,63,7
雁荡山（浙江）,2,2,2,0,6,0,0,0
华山（陕西）,665,72,82,0,184,1,89,11
青岛崂山（山东）,61,12,20,0,51,1,31,3
南岳衡山（湖南）,65,6,15,0,28,0,35,0
杭州西湖（浙江）,63,17,11,0,63,2,42,2
云冈石窟（山西）,307,71,97,0,319,0,208,7
长白山（吉林）,26,5,4,0,23,0,15,0
大足石刻（重庆）,59,13,32,0,64,0,22,4
西安大雁塔与城墙,19,3,5,0,8,0,6,0
武当山（湖北）,85,15,10,0,52,1,19,3
张家界国家森林公园（湖南）,229,37,47,0,153,4,63,12
成都武侯祠与宽窄巷子,199,36,34,0,87,1,98,2
苏州拙政园与留园（江苏）,613,112,149,0,317,5,338,4
喀纳斯湖（新疆）,30,2,2,0,26,0,10,1
龙门石窟（河南）,633,142,136,0,435,3,205,11
丽江古城（云南）,7,5,5,0,16,0,5,3
深圳大梅沙与欢乐谷,4,3,3,0,4,1,3,2
海南三亚天涯海角与亚龙湾,96,13,19,0,79,1,84,1
布达拉宫（西藏拉萨）,46,30,11,0,19,0,19,0
南山竹海（江苏）,106,13,11,0,35,0,75,5
秦始皇兵马俑（陕西西安）,698,157,111,0,325,2,386,14
上海外滩与东方明珠,60,30,19,0,51,3,41,3
峨眉山（四川）,381,64,54,0,202,3,151,13
茶卡盐湖（青海）,46,5,4,0,31,0,21,0
颐和园（北京）,85,46,41,0,73,2,38,3
平遥古城（山西）,208,33,42,0,120,2,128,4
庐山（江西）,272,34,54,0,139,0,91,3
九寨沟（四川）,562,124,157,0,534,5,287,20
西双版纳（云南）,178,59,26,0,67,1,88,6
南京中山陵与夫子庙,46,12,15,0,35,0,20,3
神农架（湖北）,26,4,6,0,18,0,19,1
广州白云山与沙面,10,1,3,0,6,0,5,0
青海湖（青海）,12,4,2,0,8,0,4,1
周庄（江苏）,150,29,27,0,76,0,102,2
